"","LeadH","InstH","CorrH","Scopus","WoS","FWCit","AbsViews","Mendelay","JIFPerc","Impact1","Impact5","Altmetric","SocMedia"
"1",16,999,14,14,34,1.13,359,15,92.361,2.864,3.688,0,0
"2",9,450,23,35,33,1.13,539,23,92.361,2.864,3.688,0,0
"3",3,450,7,45,44,2,505,47,92.361,2.864,3.688,0,0
"4",3,39,35,85,17,2.74,1271,341,92.361,2.864,3.688,37,16
"5",5,350,5,29,27,1.5,311,42,92.361,2.864,3.688,0,0
"6",7,350,10,36,31,1.16,816,68,92.361,2.864,3.688,6,5
"7",8,92,25,17,14,1.33,868,53,92.361,2.864,3.688,0,0
"8",7,175,7,6,3,0.33,695,26,92.361,2.864,3.688,0,0
"9",1,33,19,50,50,2.49,198,28,92.361,2.864,3.688,0,0
"10",1,41,14,13,13,0.97,194,32,92.361,2.864,3.688,0,0
"11",16,225,16,101,102,5.01,524,126,92.361,2.864,3.688,0,0
"12",2,999,2,5,4,0.48,413,17,92.361,2.864,3.688,0,0
"13",7,450,7,89,81,6.49,752,88,92.361,2.864,3.688,1,1
"14",15,999,15,53,53,2.83,448,70,92.361,2.864,3.688,1,1
"15",8,450,13,78,71,5.99,4619,199,92.361,2.864,3.688,17,19
"16",10,20,10,12,16,0.67,663,65,92.361,2.864,3.688,5,10
"17",12,999,15,16,14,0.67,749,52,92.361,2.864,3.688,0,0
"18",4,999,4,44,42,1.66,2250,78,92.361,2.864,3.688,21,25
"19",12,999,12,31,31,1.16,515,23,92.361,2.864,3.688,0,0
"20",10,350,10,37,36,2.26,229,62,92.361,2.864,3.688,0,0
"21",5,999,5,32,26,1.66,725,51,92.361,2.864,3.688,0,0
"22",14,125,14,47,39,2.42,357,52,92.361,2.864,3.688,0,0
"23",8,175,8,61,60,2.66,163,43,92.361,2.864,3.688,0,0
"24",1,175,9,13,9,0.83,677,36,92.361,2.864,3.688,0,0
"25",8,999,8,116,119,3.66,1014,92,92.361,2.864,3.688,49,8
"26",20,250,23,25,26,1.66,482,1,92.361,2.864,3.688,0,0
